Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
01-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
02-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
03-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
04-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
05-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
06-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
07-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
08-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
09-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
10-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
11-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
12-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
13-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
14-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
15-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
16-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
17-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
18-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
19-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
20-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
21-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
22-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
23-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
24-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
25-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
26-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
27-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
28-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
29-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
30-09-2014,"1,707",0,0,0,"1,440",0,0,0,0
01-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
02-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
03-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
04-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
05-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
06-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
07-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
08-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
09-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
10-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
11-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
12-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
13-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
14-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
15-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
16-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
17-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
18-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
19-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
20-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
21-10-2014,"1,707",0,0,0,"1,440",0,0,0,0
